clusterID;pixelID;coord_X;coord_Y;a1;a2;a3;a4;a5;a6;a7
9;6943;86;67;0.643820959416679;0.4002206533815017;0.5026628008452718;0.4853729872087603;0.5118439673250333;0.4920861653589087;0.506764946588689
9;0;1;1;0.6103356171103571;0.3848545535872038;0.5168783896127145;0.5082314929833145;0.511863309623307;0.5111482670979303;0.4842161621443077
9;4;1;5;0.6304732173309749;0.37865894865982663;0.5267623484956128;0.5135867083994908;0.5020952711348903;0.5106901658842188;0.5075707867533181
9;5;1;6;0.634818475754418;0.42249995736913;0.5171967149307403;0.5234702448643808;0.5171349752039517;0.5033930948839999;0.5301376462419483
9;8;2;3;0.6308347404484785;0.4419606883128031;0.5105605724857852;0.5114548981068848;0.5247813636644878;0.5001638648384208;0.5243037200597619
9;9;2;4;0.6181036397247498;0.4046572874898928;0.5145100697005276;0.5075773898137632;0.512103821097703;0.5178158018706581;0.5228496905776974
9;51;4;3;0.6509609353828729;0.4576226141080545;0.5137353328408236;0.517730428967933;0.521582503250451;0.5021040307504303;0.5243346010394195
9;52;4;4;0.6172142052595355;0.41633961322918045;0.5133744100015423;0.5163864282607608;0.5158182538071034;0.5165119308742722;0.4908676228001943
9;53;4;5;0.6276765655583967;0.4201525582646161;0.5196591451286655;0.5112306163770172;0.5121449290396662;0.5093748451365558;0.5202937726047826
9;70;4;57;0.5920546774312707;0.45700303805254805;0.5192532236552395;0.5280651078656612;0.5237064876936406;0.4999273774513668;0.5218831314771827
9;71;4;58;0.6080140522019284;0.38516618691467736;0.5235790063852483;0.5221651955440769;0.5104843816166084;0.5193635859180331;0.49034097870650845
9;82;4;70;0.5477273988968621;0.41113357806750567;0.5182960911460675;0.5275289037854723;0.5122735664394495;0.506883757211648;0.5167827230501035
9;83;4;71;0.5785892808139986;0.43600319374693286;0.51736554873889;0.5260545093089035;0.5177190903792898;0.49746719273864337;0.5147458011816721
9;99;5;1;0.6340513868839164;0.43852656330068357;0.5059779596067449;0.5006959114361073;0.521155305248924;0.5086150929998822;0.5112461346806897
9;100;5;2;0.6372069605683683;0.4408317206043699;0.5021719511196556;0.49560188374420566;0.5192244992306767;0.5125936258945619;0.5110228311819992
9;101;5;3;0.6140484268453048;0.4002063134017471;0.5104911180722141;0.49790606281671485;0.5102478275319742;0.5184462273992192;0.5090546300537563
9;102;5;4;0.5916773692197737;0.3633168599944201;0.5190669150810632;0.5030626528388947;0.5055430913834885;0.5243780433966917;0.48496853308209986
9;103;5;5;0.6064380550781059;0.38036009267673243;0.5211088837330671;0.5131389897757723;0.5052201416998985;0.5217742143286278;0.45705079352001
9;104;5;6;0.6411885837842665;0.44210102002165763;0.5068390031352976;0.5099431974504272;0.5188125082774476;0.5049331197795387;0.5149299309682268
9;123;5;60;0.6315053401528793;0.4011274514501088;0.5214425494945513;0.511569506782288;0.5121671393338908;0.5234795602930896;0.49644536357662483
9;124;5;61;0.6538169035368238;0.4523633987423905;0.5256377383624228;0.53999276953765;0.5190932161602101;0.5090621224152715;0.46601310300643123
9;125;5;62;0.6094815545952043;0.41811372439888417;0.5206236143716656;0.5228596507496819;0.5143287412123437;0.512910217075501;0.5197400492935137
